S. No,"Country",Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M pop,Population,Nationality Factor = Tot case/Popu
159,Martinique,202,14,98,90,538,"3,75,278",0.0005
160,Mongolia,197,,95,102,60,"32,75,404",0.0001
161,Suriname,187,3,9,175,319,"5,86,365",0.0003
162,Cayman Islands,187,1,115,71,"2,847","65,682",0.0028
163,Faeroe Islands,187,,187,0,"3,828","48,854",0.0038
164,Gibraltar,176,,173,3,"5,224","33,691",0.0052
165,Guadeloupe,171,14,157,0,427,"4,00,121",0.0004
166,Syria,170,6,71,93,10,"1,74,75,529",0.0001
167,Comoros,163,2,97,64,188,"8,68,536",0.0002
168,Guyana,159,12,95,52,202,"7,86,367",0.0002
169,Bermuda,141,9,127,5,"2,264","62,288",0.0023
170,Brunei,141,2,138,1,322,"4,37,264",0.0003
171,Angola,130,5,42,83,4,"3,28,01,945",0.00004
172,Cambodia,126,,125,1,8,"1,67,06,597",0.0001
173,Trinidad and Tobago,117,8,109,0,84,"13,99,271",0.0001
174,Bahamas,103,11,68,24,262,"3,93,052",0.0003
175,Aruba,101,3,98,0,946,"1,06,744",0.0009
176,Monaco,99,4,93,2,"2,524","39,228",0.0025
177,Barbados,96,7,83,6,334,"2,87,358",0.0003
178,Burundi,85,1,45,39,7,"1,18,68,767",0.00001
179,Liechtenstein,82,1,55,26,"2,151","38,123",0.0022
180,Sint Maarten,77,15,61,1,"1,797","42,851",0.0018
181,Bhutan,62,,20,42,80,"7,71,167",0.0001
182,French Polynesia,60,,60,0,214,"2,80,828",0.0002
183,Botswana,48,1,24,23,20,"23,48,927",0.00002
184,Macao,45,,45,0,69,"6,48,863",0.0001
185,Saint Martin,42,3,36,3,"1,087","38,630",0.0011
186,Eritrea,41,,39,2,12,"35,43,797",0.00001
187,Namibia,32,,17,15,13,"25,38,340",0.00001
188,Gambia,28,1,22,5,12,"24,12,511",0.00001
189,St. Vincent Grenadines,27,,25,2,243,"1,10,923",0.0002
190,Antigua and Barbuda,26,3,20,3,266,"97,888",0.0003
191,Timor-Leste,24,,24,0,18,"13,17,033",0.00002
192,Grenada,23,,22,1,204,"1,12,498",0.0002
193,Curaçao,22,1,15,6,134,"1,64,061",0.0001
194,New Caledonia,21,,20,1,74,"2,85,357",0.0001
195,Belize,20,2,16,2,50,"3,97,225",0.0001
196,Laos,19,,19,0,3,"72,69,879",0.000003
197,Saint Lucia,19,,18,1,103,"1,83,586",0.0001
198,Dominica,18,,16,2,250,"71,978",0.0003
199,Fiji,18,,18,0,20,"8,96,120",0.00002
200,Saint Kitts and Nevis,15,,15,0,282,"53,180",0.0003
201,Falkland Islands,13,,13,0,"3,742","3,474",0.0037
202,Greenland,13,,13,0,229,"56,765",0.0002
203,Turks and Caicos,12,1,11,0,310,"38,689",0.0003
204,Vatican City,12,,12,0,"14,981",801,0.015
205,Montserrat,11,1,10,0,"2,204","4,992",0.0022
206,Seychelles,11,,11,0,112,"98,317",0.0001
207,MS Zaandam,9,2,,7,,,N/A
208,Western Sahara,9,1,6,2,15,"5,96,469",0.00002
209,British Virgin Islands,8,1,7,0,265,"30,221",0.0003
210,Papua New Guinea,8,,8,0,0.9,"89,37,501",0.000001
211,Caribbean Netherlands,7,,7,0,267,"26,211",0.0003
212,St. Barth,6,,6,0,608,"9,876",0.0006
213,Lesotho,4,,2,2,2,"21,41,394",0.000002
214,Anguilla,3,,3,0,200,"14,996",0.0002
215,Saint Pierre Miquelon,1,,1,0,173,"5,795",0.0002
,Total:,"78,01,450","4,29,964","40,02,946","33,68,540","1,000.90",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
